STANDARD_GCN_0.001_0_0,37.430 ± 0.884,36.337 ± 0.829,96391, 540.10s, 146.19s,9.0min0.10s
STANDARD_GCN_0.001_0_0,37.253 ± 2.116,36.012 ± 1.141,96391, 363.81s, 7.10s,6.0min3.81s
STANDARD_GCN_0.001_0_0,38.139 ± 1.718,36.869 ± 1.867,96391, 362.12s, 6.91s,6.0min2.12s
STANDARD_GCN_0.001_0_0,38.641 ± 1.817,37.371 ± 0.490,96391, 360.15s, 3.86s,6.0min0.15s
STANDARD_GCN_0.001_0_0,38.375 ± 2.408,36.189 ± 1.883,96391, 361.41s, 4.69s,6.0min1.41s
STANDARD_GCN_0.001_0_0,38.523 ± 1.383,35.451 ± 1.960,96391, 378.28s, 20.97s,6.0min18.28s
STANDARD_GCN_0.001_0_0,38.405 ± 1.413,35.894 ± 0.724,96391, 366.75s, 6.24s,6.0min6.75s
STANDARD_GCN_0.001_0_0,38.375 ± 2.268,35.421 ± 1.743,96391, 305.31s, 23.05s,5.0min5.31s
STANDARD_GCN_0.001_0_0,36.691 ± 1.487,37.105 ± 1.482,96391, 660.54s, 379.72s,11.0min0.54s
STANDARD_GCN_0.001_0_0,37.666 ± 1.075,36.100 ± 1.572,96391, 835.57s, 571.72s,13.0min55.57s
STANDARD_GCN_0.001_0_0,37.932 ± 1.220,37.016 ± 1.290,96391, 965.98s, 677.06s,16.0min5.98s
