HyperGCN_0.001_0.0_1,48.820 ± 2.105,47.616 ± 1.515,6, 1.74s, 0.36s,0.0min1.74s
HyperGCN_0.01_0.0_1,62.547 ± 23.193,62.755 ± 22.885,6, 0.73s, 0.05s,0.0min0.73s
HyperGCN_0.01_1e-05_1,83.323 ± 25.127,83.560 ± 24.444,6, 0.79s, 0.06s,0.0min0.79s
HyperGCN_0.01_1e-05_1,48.416 ± 2.852,46.656 ± 1.898,6, 0.72s, 0.03s,0.0min0.72s
HyperGCN_0.01_1e-05_1,48.944 ± 3.201,48.421 ± 2.486,6, 0.70s, 0.02s,0.0min0.70s
HyperGCN_0.01_1e-05_1,83.758 ± 23.873,82.322 ± 24.508,6, 0.71s, 0.01s,0.0min0.71s
HyperGCN_0.01_1e-05_1,49.503 ± 2.024,48.111 ± 3.055,6, 0.71s, 0.02s,0.0min0.71s
HyperGCN_0.01_1e-05_1,49.907 ± 1.975,47.337 ± 4.067,6, 0.70s, 0.02s,0.0min0.70s
HyperGCN_0.01_1e-05_1,89.193 ± 21.766,89.288 ± 21.605,6, 0.71s, 0.02s,0.0min0.71s
HyperGCN_0.01_1e-05_1,88.665 ± 22.601,89.381 ± 19.794,6, 0.77s, 0.07s,0.0min0.77s
HyperGCN_0.01_1e-05_1,73.634 ± 27.372,73.715 ± 26.671,6, 0.71s, 0.02s,0.0min0.71s
HyperGCN_0.01_1e-05_1,74.720 ± 26.054,73.529 ± 27.049,6, 1.12s, 0.31s,0.0min1.12s
HyperGCN_0.01_1e-05_1,89.689 ± 21.247,88.731 ± 21.724,6, 0.75s, 0.10s,0.0min0.75s
HyperGCN_0.01_1e-05_1,88.376 ± 21.464,88.449 ± 20.591,6, 0.78s, 0.17s,0.0min0.78s
HyperGCN_0.01_1e-05_1,83.481 ± 22.954,83.393 ± 22.439,6, 0.77s, 0.10s,0.0min0.77s
HyperGCN_0.01_1e-05_1,47.950 ± 2.236,48.235 ± 1.862,6, 0.70s, 0.02s,0.0min0.70s
